"Time","recv br-12d023f77e6a","recv bri0","recv docker0","recv enp4s0","recv macvlan1","recv tailscale0","recv veth0d5c3b2","recv veth77ec78e","recv virbr0","trans br-12d023f77e6a ","trans bri0 ","trans docker0 ","trans enp4s0 ","trans macvlan1 ","trans tailscale0 ","trans veth0d5c3b2 ","trans veth77ec78e ","trans virbr0 "
1725563100000,0,10008,0,11262.4,undefined,0,undefined,0,0,0,39112,0,39304,undefined,0,undefined,0,0
1725563130000,0,7568,0,8553.6,undefined,0,undefined,0,0,0,38564.8,0,38756.8,undefined,0,undefined,0,0
1725563160000,0,9657.6,0,10979.2,undefined,0,undefined,0,0,0,38206.4,0,38398.4,undefined,0,undefined,0,0
1725563190000,0,9217.6,0,10382.4,undefined,0,undefined,0,0,0,38608,0,38800,undefined,0,undefined,0,0
1725563220000,0,21958.4,0,24131.2,undefined,0,undefined,0,0,0,41307.2,0,41521.6,undefined,0,undefined,0,0
1725563250000,0,12988.8,0,14534.4,undefined,0,undefined,0,0,0,41854.4,0,42046.4,undefined,0,undefined,0,0
1725563280000,0,11870.4,0,13326.4,undefined,0,undefined,0,0,0,39484.8,0,40264,undefined,0,undefined,0,0
1725563310000,0,12316.8,0,13872,undefined,0,undefined,0,0,0,49585.6,0,49777.6,undefined,0,undefined,0,0
1725563340000,0,8062.4,0,9745.6,undefined,0,undefined,0,0,0,38427.2,0,38619.2,undefined,0,undefined,0,0
1725563370000,0,5436.8,0,6198.4,undefined,0,undefined,0,0,0,38635.2,0,38827.2,undefined,0,undefined,0,0
1725563400000,0,8091.2,0,9300.8,undefined,0,undefined,0,0,0,38756.8,0,38948.8,undefined,0,undefined,0,0
1725563430000,0,3475.2,0,4102.4,undefined,0,undefined,0,0,0,38324.8,0,38516.8,undefined,0,undefined,0,0
1725563460000,0,11582.4,0,12702.4,undefined,0,undefined,0,0,0,38256,0,38448,undefined,0,undefined,0,0
1725563490000,0,8571.2,0,9803.2,undefined,0,undefined,0,0,0,41252.8,0,41444.8,undefined,0,undefined,0,0
1725563520000,0,12468.8,0,13576,undefined,0,undefined,0,0,0,38670.4,0,38862.4,undefined,0,undefined,0,0
1725563550000,0,3592,0,4107.2,undefined,0,undefined,0,0,0,38169.6,0,38361.6,undefined,0,undefined,0,0
1725563580000,0,4076.8,0,4860.8,undefined,0,undefined,0,0,0,38179.2,0,38371.2,undefined,0,undefined,0,0
1725563610000,0,5187.2,0,5836.8,undefined,0,undefined,0,0,0,38257.6,0,38449.6,undefined,0,undefined,0,0
1725563640000,0,6947.2,0,7955.2,undefined,0,undefined,0,0,0,40502.4,0,40694.4,undefined,0,undefined,0,0
1725563670000,0,4718.4,0,5345.6,undefined,0,undefined,0,0,0,38168,0,38360,undefined,0,undefined,0,0
1725563700000,0,4696,0,5572.8,undefined,0,undefined,0,0,0,38113.6,0,38305.6,undefined,0,undefined,0,0
1725563730000,0,7416,0,8200,undefined,0,undefined,0,0,0,38209.6,0,38960,undefined,0,undefined,0,0
1725563760000,0,3734.4,0,4294.4,undefined,0,undefined,0,0,0,38188.8,0,38380.8,undefined,0,undefined,0,0
1725563790000,0,5192,0,6360,undefined,0,undefined,0,0,0,38283.2,0,39062.4,undefined,0,undefined,0,0
1725563820000,0,4024,0,4673.6,undefined,0,undefined,0,0,0,38174.4,0,38366.4,undefined,0,undefined,0,0
1725563850000,0,4982.4,0,5721.6,undefined,0,undefined,0,0,0,38272,0,38464,undefined,0,undefined,0,0
1725563880000,0,3385.6,0,3945.6,undefined,0,undefined,0,0,0,38080,0,38272,undefined,0,undefined,0,0
1725563910000,0,2913.6,0,3361.6,undefined,0,undefined,0,0,0,38249.6,0,38470.4,undefined,0,undefined,0,0
1725563940000,0,4027.2,0,4788.8,undefined,0,undefined,0,0,0,38086.4,0,38278.4,undefined,0,undefined,0,0
1725563970000,0,3396.8,0,3934.4,undefined,0,undefined,0,0,0,38086.4,0,38278.4,undefined,0,undefined,0,0
1725564000000,0,24912,0,26121.6,undefined,0,undefined,0,0,0,37971.2,0,38163.2,undefined,0,undefined,0,0
1725564030000,0,6347.2,0,7112,undefined,0,undefined,0,0,0,37936,0,38128,undefined,0,undefined,0,0
1725564060000,0,4347.2,0,5019.2,undefined,0,undefined,0,0,0,38006.4,0,38198.4,undefined,0,undefined,0,0
1725564090000,0,5040,0,5779.2,undefined,0,undefined,0,0,0,38176,0,38368,undefined,0,undefined,0,0
1725564120000,0,5817.6,0,6758.4,undefined,0,undefined,0,0,0,38144,0,38336,undefined,0,undefined,0,0
1725564150000,0,3056,0,3459.2,undefined,0,undefined,0,0,0,38003.2,0,38195.2,undefined,0,undefined,0,0
1725564180000,0,3348.8,0,4539.2,undefined,0,undefined,0,0,0,37937.6,0,38129.6,undefined,0,undefined,0,0
1725564210000,0,4136,0,4897.6,undefined,0,undefined,0,0,0,37987.2,0,38201.6,undefined,0,undefined,0,0
1725564240000,0,6368,0,7196.8,undefined,0,undefined,0,0,0,37936,0,38686.4,undefined,0,undefined,0,0
1725564270000,0,4075.2,0,4747.2,undefined,0,undefined,0,0,0,37868.8,0,38060.8,undefined,0,undefined,0,0
1725564300000,0,4966.4,0,5728,undefined,0,undefined,0,0,0,37915.2,0,38107.2,undefined,0,undefined,0,0
1725564330000,0,4100.8,0,4728,undefined,0,undefined,0,0,0,38019.2,0,38211.2,undefined,0,undefined,0,0
1725564360000,0,5380.8,0,6232,undefined,0,undefined,0,0,0,38048,0,38240,undefined,0,undefined,0,0
1725564390000,0,2140.8,0,2566.4,undefined,0,undefined,0,0,0,37896,0,38088,undefined,0,undefined,0,0
